TIME	FPOGV	LPUPILD	RPUPILD
4082.96973	1	0.00414	0.00388
4082.98633	1	0.00414	0.00388
4083.00293	1	0.00414	0.00388
4083.01953	1	0.00399	0.00407										
4083.03589	1	0.00399	0.00407										
4083.05249	0	0.00399	0.00407										
4083.06885	0	0.00406	0.00432										
4083.08545	0	0.00406	0.00432										
4083.10181	0	0.00406	0.00432										
4083.11841	0	0.00447	0.00428										
4083.13477	0	0.00447	0.00428										
4083.15112	1	0.00447	0.00428										
4083.16772	1	0.00417	0.00407										
4083.18433	1	0.00417	0.00407										
4083.20093	1	0.00417	0.00407										
4083.21729	1	0.00365	0.00411										
4083.23389	1	0.00365	0.00411										
4083.25024	1	0.00365	0.00411										
4083.2666	1	0.00395	0.00384										
4083.2832	1	0.00395	0.00384										
4083.2998	1	0.00395	0.00384										
4083.31616	1	0.00382	0.00376										
4083.33252	0	0.00382	0.00376										
4083.34912	0	0.00382	0.00376										
4083.36548	0	0.00372	0.00369										
4083.38184	1	0.00372	0.00369										
4083.39868	1	0.00372	0.00369										
4083.41528	1	0.00376	0.00378										
4083.43164	1	0.00376	0.00378										
4083.448	1	0.00376	0.00378										
4083.46436	1	0.00391	0.00391										
4083.48096	1	0.00391	0.00391										
4083.49756	1	0.00391	0.00391										
4083.51416	1	0.00398	0.00392										
4083.53052	1	0.00398	0.00392										
4083.54688	1	0.00398	0.00392										
4083.56348	1	0.00421	0.00396										
4083.57983	1	0.00421	0.00396										
4083.59668	1	0.00421	0.00396										
4083.61304	1	0.00415	0.00415										
4083.62939	1	0.00415	0.00415										
4083.64575	0	0.00415	0.00415										
4083.66235	0	0.00415	0.00429										
4083.67871	0	0.00415	0.00429										
4083.69531	0	0.00415	0.00429										
4083.71191	0	0.00461	0.00415										
4083.72827	0	0.00461	0.00415										
4083.74487	1	0.00461	0.00415										
4083.76123	1	0.00456	0.00408										
4083.77783	1	0.00456	0.00408										
4083.79443	1	0.00456	0.00408										
4083.81079	1	0.00453	0.00426										
4083.82739	1	0.00453	0.00426										
4083.84399	1	0.00453	0.00426										
4083.86035	1	0.00448	0.00427										
4083.87671	1	0.00448	0.00427										
4083.89331	1	0.00448	0.00427										
4083.90967	1	0.00449	0.00433										
